ID,Dictionary
0,GeForce RTX 3060
1,GeForce GTX 1050 Ti
2,GeForce GTX 1650 G6
3,GeForce RTX 3060 Ti
4,GeForce RTX 3080
5,GeForce RTX 3090
6,GeForce RTX 2060
7,GeForce RTX 3070
8,GeForce RTX 3080 Ti
9,GeForce RTX 3070 Ti
10,GeForce GTX 1660 Ti
11,GeForce GTX 1660 SUPER
12,Quadro GV100
13,GeForce GT 1030
14,GeForce GTX 1650 SUPER
15,Radeon RX 6600 XT
16,GeForce GT 710
17,GeForce GTX 1660
18,Radeon RX 6700 XT
19,GeForce RTX 2060 SUPER
20,Radeon RX 580
21,GeForce GTX 1080 Ti
22,Radeon HD 5450
23,GeForce GTX 1650 G5
24,Radeon RX 6800 XT
25,GeForce GTX 1060 6GB
26,GeForce RTX 2070 SUPER
27,GeForce RTX 3080 LHR
28,Radeon RX 6900 XT
29,GeForce GTX 970
30,GeForce GTX 1080
31,RTX A6000
32,GeForce GT 1030 DDR4
33,GeForce GTX 1070
34,GeForce RTX 2080 Ti
35,Radeon RX 5700 XT
36,TITAN RTX
37,Radeon RX 550 - 512
38,Quadro RTX 8000
39,GeForce GTX 1060 3GB
40,GeForce RTX 2080 SUPER
41,Quadro RTX 4000
42,Radeon RX 570
43,GeForce GTX 1070 Ti
44,Radeon RX 5600 XT
45,GeForce GTX 750 Ti
46,GeForce GTX 980 Ti
47,Radeon RX 5500 XT
48,Radeon Pro WX 3100
49,Radeon Pro WX 3200
50,Radeon RX 590
51,Radeon RX 6800
52,FirePro S7000
53,GeForce GTX 960
54,GeForce GTX 980
55,GeForce RTX 3070 LHR
56,GeForce RTX 2080
57,GeForce 8400 GS
58,Radeon Pro W5500
59,GeForce RTX 2070
60,Radeon RX 560 - 1024
61,RTX A4000
62,Quadro RTX 6000
63,Quadro P400
64,GeForce GTX 1050
65,GeForce GT 730
66,Quadro P2200
67,Quadro P1000
68,Radeon RX 480
69,GeForce GTX 770
70,Quadro RTX 5000
71,Radeon R9 390
72,Quadro P2000
73,Radeon Pro WX 2100
74,GeForce GTX 780
75,Radeon RX VEGA 64
76,GeForce GTX 660
77,Titan V
78,Vega Frontier Edition
79,Radeon RX 5700
80,Quadro P620
81,GeForce GTX 760
82,Radeon Pro WX 5100
83,GeForce GTX 950
84,Radeon RX 470
85,GeForce GT 610
86,Titan Xp
87,Quadro P4000
88,Radeon RX VEGA 56
89,Radeon HD 7750
90,Radeon R9 290
91,Radeon R9 380
92,Quadro M2000
93,GeForce GTX Titan
94,Radeon Pro WX 7100
95,Radeon R9 280X
96,Radeon R9 270X
97,Quadro K2200
98,Quadro M4000
99,GeForce GTX Titan X
100,Radeon Pro WX 4100
101,Radeon RX 460
102,GeForce GTX 650 Ti
103,Quadro 4000
104,Quadro GP100
105,Quadro K4200
106,GeForce GT 620
107,GeForce GTX 780 Ti
108,Quadro K4000
109,GeForce GTX 650
110,GeForce GTX 550 Ti
111,GeForce GTX 660 Ti
112,FirePro W2100
113,Quadro M6000
114,Titan X (Pascal)
115,Radeon R7 370
116,GeForce GTX 670
117,Radeon R7 240
118,Radeon Pro W5700
119,Radeon R9 390X2
120,Quadro K6000
121,Quadro P600
122,Radeon RX 560 - 896
123,Quadro K620
124,Radeon HD 4550
125,Radeon R9 390X
126,Radeon Pro VII
127,Quadro 2000D
128,Radeon R9 Fury
129,Quadro P6000
130,Radeon R9 380X
131,Vega Frontier Edition Liquid
132,GeForce GTX 560 Ti
133,Radeon HD 7850
134,Radeon VII
135,Radeon Pro WX 9100
136,Quadro FX 1800
137,Radeon RX 550 - 640
138,Quadro 6000
139,Quadro K600
140,Radeon R9 270
141,FirePro W4100
142,Quadro K1200
143,GeForce GTX 750
144,GeForce GTX 950 75W
145,GeForce GTX 680
146,Radeon R7 250
147,Radeon R9 290X
148,Quadro M5000
149,Quadro P5000
150,Quadro K2000
151,Radeon R9 280
152,GeForce GTX 580
153,FirePro W5000
154,FirePro W7100
155,GeForce 210
156,GeForce GTX 460 SE
157,FireGL V7300
158,FirePro W9100
159,GeForce GT 640
160,GeForce GT 220
161,Radeon HD 7770
162,Radeon HD 7870 GHz Edition
163,Radeon R7 360
164,FirePro V3800
165,GeForce GTS 450
166,Radeon HD 6770
167,FirePro 2270
168,GeForce GTX 260
169,GeForce GT 520
170,Radeon R7 260X
171,FirePro S9150
172,FirePro W7000
173,Radeon HD 7970
174,GeForce 9500 GT
175,Quadro 5000
176,Radeon HD 6450
177,GeForce GTX Titan Black
178,GeForce GTX 570
179,GeForce GT 630
180,GeForce 9600 GT
181,Radeon HD 6850
182,Radeon HD 7950
183,Radeon Pro Duo Polaris
184,FirePro W9000
185,Quadro NVS 420
186,GeForce GTX 690
187,Quadro K5000
188,GeForce GTX 460
189,Radeon HD 7970 GHz Edition
190,GeForce GT 740
191,Quadro 410
192,FirePro 2450
193,FirePro RG220A
194,GeForce GTX 285
195,GeForce 8500 GT
196,GeForce GTX 650 Ti Boost
197,GeForce GTX Titan Z
198,Radeon HD 4670
199,Quadro K5200
200,FirePro V7900 SDI
201,FirePro W5100
202,GeForce 9800 GTX+
203,Radeon R7 350
204,GeForce GTX 560
205,Radeon HD 6950
206,Radeon HD 6870
207,Radeon HD 7870
208,Radeon Pro WX 8200
209,GeForce GTS 250
210,GeForce GT 430
211,Radeon HD 7770 GHz Edition
212,GeForce 9800 GT
213,Radeon HD 4890
214,Radeon HD 4870
215,Radeon R9 Fury X
216,Quadro NVS 450
217,Radeon HD 5770
218,FirePro V8800
219,FirePro W600
220,FirePro R5000
221,Radeon HD 5870
222,GeForce GTX 760 X2
223,GeForce GT 720
224,Radeon HD 4850
225,GeForce FX 5200
226,GeForce 7200 GS
227,GeForce GTX 480
228,Radeon R7 265
229,Radeon R5 220
230,Radeon Pro Duo
231,GeForce 9400 GT
232,Radeon HD 5970
233,Radeon HD 5670
234,Radeon R9 295X2
235,Quadro NVS 295
236,Radeon R9 Nano
237,Radeon HD 6750
238,FirePro V7750
239,GeForce GTX 295
240,Radeon HD 5850
241,GeForce GTX 590
242,FirePro V4900
243,Radeon HD 5750
244,Quadro K420
245,GeForce GTX 470
246,Radeon HD 6970
247,Radeon 9550
248,NVS 810
249,Radeon HD 4350
250,GeForce GTX 465
251,Radeon HD 5550
252,Radeon HD 6570
253,Radeon HD 7990
254,Radeon HD 7790
255,Radeon R5 230
256,FirePro 2460
257,GeForce GTX 275
258,Radeon HD 5570
259,Radeon HD 6670
260,Radeon HD 3450
261,FirePro V5800
262,FirePro V5900
263,FirePro V3900
264,Quadro 400
265,Radeon R7 260
266,Quadro K2000D
267,Radeon R9 285
268,FirePro W8100
269,FirePro V7900
270,FirePro W8000
271,GeForce 9600 GSO
272,Radeon HD 6990
273,GeForce GT 440
274,Radeon HD 5830
275,Radeon HD 6790
276,GeForce GTX 580 X2
277,GeForce GTX 560 Ti 448
278,GeForce GTX 560 SE
279,Radeon HD 7870 XT
280,Radeon R7 250X
281,FirePro S9050
282,FirePro V8750
283,FirePro V5700
284,Radeon HD 4650
285,GeForce GTX 460 X2
