ID,Dictionary
0,Black / Gold
1,Black
2,Black / Silver
3,Black / White
4,Silver / Black
5,Brown / Black
6,Gold / Black
7,White / Black
8,Black / Red
9,Red
10,Black / Orange
11,Black / Gray
12,Red / Black
13,White
14,Silver / Brown
15,Green / Black
16,Black / Green
17,Black / Blue
18,Black / Yellow
19,Blue / Black
20,Beige
21,Green
22,Blue / White
23,Green / Blue
24,Multicolor
25,Black / Pink
26,Green / Silver
27,Silver / Orange
28,Brown
29,White / Gray
30,Camo
31,Silver
32,Blue / Silver
33,Orange / Black
34,White / Silver
35,Blue
36,Brown / Red
37,Brown / Silver
38,White / Blue
39,Silver / Red
40,Brown / Gray
41,Yellow / Black
42,Orange / White
43,Translucent Black
44,Beige / Red
45,Yellow
46,Green / White
47,Black / Beige
48,Black / Multicolor
49,Blue / Red
50,Red / Silver
51,Silver / White
52,Transparent / Black
53,Transparent
54,Black / Clear
55,Clear / Black
56,Gray / Black
57,White / Orange
58,Blue / Gold
59,Gray
60,White / Red
61,Gold / Blue
62,Gold
63,Pink
64,Red / White
65,Silver / Green
66,Silver / Blue
67,Gray / Blue
68,Gold / White
69,Black / Purple
70,Translucent Blue
71,Red / Blue
72,White / Gold
73,Gray / Silver
74,Silver / Camo
75,Black / Camo
76,Black / Black
77,Orange
78,Pink / Silver
79,Camo / Black
80,Silver / Gray
81,White / Camo
82,Red / Amber
83,Blue / Orange
84,White / Purple
85,Pink / Black
86,Purple
87,Blue / Yellow
88,Pink / White
89,White / Pink
90,Gunmetal
91,Clear
92,Beige / Gray
93,Gray / Orange
94,Silver / Beige
95,Black / Translucent White
96,Orange / Red
97,Orange / Silver
