ID,Dictionary
0,Vermeer
1,Matisse
2,Cezanne
3,Comet Lake
4,Rocket Lake-S
5,Pinnacle Ridge
6,Castle Peak
7,Coffee Lake Refresh
8,Picasso
9,Raven Ridge
10,Summit Ridge
11,Coffee Lake
12,Kaby Lake-S
13,Wolfdale
14,Skylake-S
15,Whitehaven
16,Haswell Refresh
17,Cascade Lake-X
18,Bristol Ridge
19,Ivy Bridge
20,Colfax
21,Vishera
22,Haswell
23,Sandy Bridge
24,Broadwell-EP
25,Sandy Bridge-EP
26,Haswell-EP
27,Kaby Lake-X
28,Haswell-E
29,Regor
30,Conroe
31,Kabini
32,Skylake-X
33,Broadwell-E
34,Lynnfield
35,Ivy Bridge-EP
36,Kaveri
37,Propus
38,Sandy Bridge-E
39,Yorkfield
40,Bloomfield
41,Ivy Bridge-E
42,Deneb
43,Zambezi
44,Kentsfield
45,Richland
46,Thuban
47,Clarkdale
48,Trinity
49,Gulftown
50,Godavari
51,Llano
52,Skylake-H
53,Broadwell
54,Carrizo
55,Sargas
56,Abu Dhabi
57,Callisto
58,Rana
59,Allendale
60,Heka
61,Ivy Bridge-EN
62,Zosma
63,Seoul
