ID,Dictionary
0,AMD Ryzen 5
1,AMD Ryzen 7
2,AMD Ryzen 9
3,Intel Core i7
4,Intel Core i5
5,Intel Core i9
6,Intel Core i3
7,AMD Threadripper
8,AMD Ryzen 3
9,AMD Athlon
10,Intel Core 2 Duo
11,Intel Pentium Gold
12,AMD A6
13,AMD FX
14,Intel Celeron
15,AMD A8
16,Intel Xeon E5
17,Intel Pentium
18,AMD Athlon II X2
19,AMD A10
20,AMD Sempron
21,AMD Athlon II X4
22,Intel Core 2 Quad
23,AMD Phenom II X4
24,AMD Athlon X4
25,Intel Core i7 Extreme
26,AMD Phenom II X6
27,Intel Xeon E3
28,Intel Xeon E
29,Intel Core 2 Extreme
30,AMD A12
31,AMD A4
32,AMD Athlon II
33,AMD Opteron
34,AMD Phenom II X2
35,AMD Athlon II X3
36,AMD Phenom II X3
37,AMD E2-Series
38,AMD Athlon X2
39,AMD Sempron X2
