ID,Dictionary
0,AM4
1,LGA1200
2,sTRX4
3,LGA1151
4,LGA775
5,sTR4
6,LGA1150
7,LGA2066
8,LGA1155
9,AM3+
10,LGA2011-3
11,LGA2011
12,AM3
13,AM1
14,LGA1156
15,FM2+
16,LGA1366
17,FM2
18,FM1
19,G34
20,LGA771
21,AM2+
22,LGA1356
23,C32
24,LGA2011-3 Narrow-S
25,2 x LGA2011-3
26,2 x LGA2011
27,AM3+/AM3
28,2 x LGA2011-3 Narrow
29,AM3/AM2+/AM2
30,LGA2011-3 Narrow
31,2 x G34
32,Integrated Xeon D-1541
33,2 x LGA1366
34,Integrated Pentium N3700
35,Integrated Atom D525
36,AM2+/AM2
37,Integrated Xeon D-1520
38,Integrated Celeron J1900
39,Integrated Atom N550
40,Integrated Xeon D-1521
41,AM2
42,Integrated Pentium J3710
43,Integrated Atom C2750
44,Integrated Atom C2358
45,Integrated Atom D510
46,Integrated A4-5000
47,Integrated Atom C2550
48,AM3/AM2+
49,Integrated E-Series E-350
50,Integrated Athlon II X2 215
51,Integrated Celeron N3050
52,Integrated Xeon D-1537
53,Integrated Atom 330
54,Integrated Atom D2700
55,Integrated E-Series E-450
56,Integrated C-Series C-70
57,Integrated Celeron N3150
58,Integrated Atom D410
59,Integrated Atom D425
60,Integrated Atom 230
61,Integrated Atom D2500
62,Integrated Celeron 847
63,Integrated Celeron 1037U
64,Integrated Atom D2550
