PID,Core Count,Core Clock,Boost Clock,TDP,Series,Microarchitecture,Core Family,Socket,Maximum Supported Memory,ECC Support,Packaging,Includes CPU Cooler,L1 Cache,L2 Cache,L3 Cache,Lithography,Simultaneous Multithreading,Integrated Graphics
16167,6,3,4,65,0,0,0,0,128,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 512 kB,1 x 32 MB,7,Y,
16168,8,3,4,105,1,0,0,0,128,N,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 512 kB,1 x 32 MB,7,Y,
16169,8,3,4,65,1,1,1,0,128,N,0,Y,"8 x 32 kB Instruction
8 x 64 kB Data",8 x 512 kB,2 x 16 MB,7,Y,
16170,6,3,4,65,0,1,1,0,128,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 512 kB,2 x 16 MB,7,Y,
16171,12,3,4,105,2,0,0,0,128,N,0,N,"12 x 32 kB Instruction
12 x 32 kB Data",12 x 512 kB,2 x 32 MB,7,Y,
16172,6,3,4,65,0,0,2,0,128,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 512 kB,1 x 16 MB,7,Y,0
16173,8,3,5,125,3,2,3,1,128,N,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 16 MB,14,Y,1
16174,16,3,4,105,2,0,0,0,128,N,0,N,"16 x 32 kB Instruction
16 x 32 kB Data",16 x 512 kB,2 x 32 MB,7,Y,
16175,6,2,4,65,4,2,3,1,128,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,
16176,8,3,5,125,3,3,4,1,128,N,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 512 kB,1 x 16 MB,14,Y,2
16177,8,3,5,125,5,3,4,1,128,N,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 512 kB,1 x 16 MB,14,Y,2
16178,4,3,4,65,6,2,3,1,128,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,Y,
16179,6,4,4,125,4,2,3,1,128,N,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,1
16180,6,3,4,125,4,3,4,1,128,N,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 512 kB,1 x 12 MB,14,Y,2
16181,8,3,4,65,1,0,2,0,128,N,0,Y,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 512 kB,1 x 16 MB,7,Y,3
16182,6,3,3,65,0,4,5,0,64,N,0,Y,"6 x 64 kB Instruction
6 x 32 kB Data",6 x 512 kB,1 x 15.99 MB,12,Y,
16183,64,2,4,280,7,1,6,2,1024,Y,0,N,"64 x 32 kB Instruction
64 x 32 kB Data",64 x 512 kB,16 x 16 MB,7,Y,
16184,6,3,3,65,0,4,5,0,,N,0,Y,"6 x 64 kB Instruction
6 x 32 kB Data",6 x 512 kB,2 x 8 MB,12,Y,
16185,12,3,4,105,2,1,1,0,128,N,0,Y,"12 x 32 kB Instruction
12 x 64 kB Data",12 x 512 kB,4 x 16 MB,7,Y,
16186,10,3,5,125,5,2,3,1,128,N,0,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 20 MB,14,Y,1
16187,6,3,4,95,0,1,1,0,128,N,0,Y,"6 x 32 kB Instruction
6 x 64 kB Data",6 x 512 kB,2 x 16 MB,7,Y,
16188,8,3,4,95,3,5,7,3,128,N,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,8 x 1.5 MB,14,N,1
16189,6,2,4,65,4,2,3,1,128,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,1
16190,8,3,5,95,5,5,7,3,128,N,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 16 MB,14,Y,1
16191,4,3,4,65,8,4,8,0,64,N,0,Y,"4 x 32 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 4 MB,12,N,3
16192,8,3,4,105,1,1,1,0,128,N,0,Y,"8 x 32 kB Instruction
8 x 64 kB Data",8 x 512 kB,2 x 16 MB,7,Y,
16193,10,3,5,125,5,2,3,1,128,N,0,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 20 MB,14,Y,1
16194,2,3,,35,9,6,9,0,128,N,0,Y,"2 x 64 kB Instruction
2 x 32 kB Data",2 x 512 kB,1 x 4 MB,14,Y,4
16195,6,2,4,65,4,5,7,3,128,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,
16196,4,3,4,65,8,1,1,0,128,N,0,Y,"4 x 32 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 16 MB,7,Y,
16197,6,2,4,65,4,3,4,1,128,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 512 kB,1 x 12 MB,14,Y,
16198,4,3,4,65,0,4,8,0,64,N,0,Y,"4 x 32 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 4 MB,12,Y,5
16199,8,2,4,65,3,2,3,1,128,N,0,Y,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 16 MB,14,Y,
16200,8,3,4,105,1,4,5,0,64,N,0,Y,"8 x 64 kB Instruction
8 x 32 kB Data",8 x 512 kB,1 x 16 MB,12,Y,
16201,6,3,4,95,0,4,5,0,64,N,0,Y,"6 x 64 kB Instruction
6 x 32 kB Data",6 x 512 kB,1 x 15.99 MB,12,Y,
16202,6,2,4,65,4,3,4,1,128,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 512 kB,1 x 12 MB,14,Y,6
16203,4,3,4,65,6,2,3,1,128,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,Y,
16204,8,3,5,125,3,2,3,1,128,N,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 16 MB,14,Y,
16205,4,3,3,65,8,1,1,0,128,N,0,Y,"4 x 32 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 16 MB,7,Y,
16206,4,3,4,65,6,2,3,1,128,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,Y,1
16207,4,3,3,65,8,6,10,0,,N,0,Y,"4 x 64 kB Instruction
4 x 32 kB Data",4 x 512 kB,1 x 8 MB,14,N,
16208,6,3,3,65,0,6,10,0,,N,0,Y,"6 x 64 kB Instruction
6 x 32 kB Data",6 x 512 kB,2 x 8 MB,14,Y,
16209,6,4,4,125,4,2,3,1,128,N,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,
16210,6,3,4,95,4,5,7,3,128,N,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,6 x 1.5 MB,14,N,1
16211,16,3,4,105,2,1,1,0,128,N,0,N,"16 x 32 kB Instruction
16 x 64 kB Data",16 x 512 kB,4 x 16 MB,7,Y,
16212,6,3,4,95,3,7,11,3,128,N,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,1
16213,4,4,4,91,3,8,12,3,64,N,0,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,7
16214,2,2,,65,10,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 3 MB,,45,N,
16215,32,3,4,280,7,1,6,2,512,Y,0,N,"32 x 32 kB Instruction
32 x 32 kB Data",32 x 512 kB,8 x 16 MB,7,Y,
16216,8,2,4,65,3,3,4,1,128,N,0,Y,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 512 kB,1 x 16 MB,14,Y,2
16217,24,3,4,280,7,1,6,2,512,Y,0,N,"24 x 32 kB Instruction
24 x 32 kB Data",24 x 512 kB,8 x 16 MB,7,Y,
16218,6,3,4,95,4,5,7,3,128,N,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,N,
16219,10,3,5,125,5,2,3,1,128,N,0,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 20 MB,14,Y,
16220,4,4,4,91,3,10,14,3,64,N,0,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,8
16221,8,3,4,180,7,6,15,5,1024,Y,0,N,"8 x 64 kB Instruction
8 x 32 kB Data",8 x 512 kB,1 x 16 MB,14,Y,
16222,4,3,4,65,6,5,7,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,N,
16223,8,3,4,105,1,1,1,0,128,N,0,N,"8 x 32 kB Instruction
8 x 64 kB Data",8 x 512 kB,1 x 32 MB,7,Y,
16224,6,3,4,125,4,3,4,1,128,N,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 512 kB,1 x 12 MB,14,Y,
16225,4,3,3,65,8,6,9,0,,N,0,Y,"4 x 64 kB Instruction
4 x 32 kB Data",4 x 512 kB,1 x 4 MB,14,N,3
16226,2,4,,58,11,2,3,1,128,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14,Y,9
