PID,Height,Fanless,Fan RPM Min,Fan RPM Max,Noise Level Min,Noise Level Max,Bearing,Water Cooler Radiator
28388,159,N,650,2000,8,30,,
28389,159,N,600,2000,9,36,0,
28390,,N,650,1800,6,27,,240
28391,,N,2400,,10,37,,360
28392,,N,500,2000,21,36,,240
28393,159,N,650,2000,6.5,26,,
28394,,N,500,1800,21,36,,360
28395,,N,2400,,10,37,,240
28396,165,N,300,1500,19.2,24.6,,
28397,162.8,N,1500,,12.8,24.3,,
28398,,N,500,2000,21,38,,280
28399,,N,2400,,10,37,,360
28400,,N,500,1800,21,38,,280
28401,158,N,300,1500,18.6,22.4,,
28402,165,N,300,1500,19.2,24.6,,
28403,,N,2400,,37,,,240
28404,,N,2400,,10,37,,240
28405,66.1,N,1800,,26.92,,,
28406,,N,2435,,37.7,,,240
28407,,N,500,2000,14.3,34.3,,240
28408,,N,500,2000,21,36,,360
28409,,N,200,1800,,,,240
28410,,N,500,2000,21,36,,120
28411,,N,800,1900,,,,360
28412,37,N,600,2500,14.8,23.6,,
28413,,N,2200,,36,,,240
28414,,N,500,2000,14.3,34.3,,360
28415,154.5,N,300,1200,2.7,24.9,,
28416,157,N,200,2100,24.4,,,
28417,51,N,1200,2800,22,,,
28418,159.4,N,1400,,,,,
28419,148,N,800,1700,30.8,,,
28420,,N,500,2000,21,36,,240
28421,,N,650,1800,6,27,,120
28422,155,N,1500,,19.1,26.8,,
28423,,N,800,2000,,,,360
28424,37,N,600,2500,14.8,23.6,,
28425,,N,1700,,37,,,240
28426,160,N,300,1500,19.2,24.6,,
28427,,N,2500,,18,39.5,,240
28428,,N,2000,,10,36,,280
28429,,N,200,1700,,,,280
28430,,N,800,2500,37.6,,,360
28431,,N,2400,,37,,,360
28432,,N,2000,,10,37,,420
28433,48,N,2500,,23.8,,,
28434,,N,5001,1500,22,33,,240
28435,,N,5001,1500,22,33,,360
28436,158,N,300,1500,18.6,22.4,,
28437,154,N,300,1200,4,24.9,,
28438,,N,800,1900,,,,240
28439,,N,450,2000,29.7,,,360
28440,,N,650,1800,8,27,,240
28441,53.5,N,100,2000,,,,
28442,135,N,,,13.1,25.4,,
28443,,N,2100,,43,,,280
