PID,Form Factor,Modules,Price / GB,First Word Latency,Voltage,ECC / Registered,Heat Spreader,Memory Type,Memory Speed,Capacity,CL,tRCD,tRP,tRAS
8310,0,2,4.249,10,1.35,0,Y,0,3200,8192,16,18,18,36
8311,0,2,5.499,10,1.35,0,Y,0,3200,8192,16,18,18,36
8312,0,2,4.687,8.889,1.35,0,Y,0,3600,8192,16,18,18,38
8313,0,2,3.749,10,1.35,0,Y,0,3200,16384,,,,
8314,0,2,5.5,10,1.35,0,Y,0,3600,16384,18,22,22,42
8315,0,2,5.499,10,1.35,0,Y,0,3600,8192,18,22,22,42
8316,0,8,31.234,10,1.35,0,Y,0,3200,16384,16,18,18,36
8317,0,2,5.499,10,1.35,0,Y,0,3200,8192,16,18,18,36
8318,0,2,4.156,10,1.35,0,Y,0,3600,16384,18,22,22,42
8319,0,2,5.781,8.889,1.35,0,Y,0,3600,16384,16,19,19,39
8320,0,2,4.123,10,1.35,0,Y,0,3200,8192,,,,
8321,0,2,4.374,10,1.35,0,Y,0,3600,8192,18,22,22,42
8322,0,2,5.781,8.889,1.35,0,Y,0,3600,16384,16,19,19,39
8323,0,2,3.998,10,1.35,0,Y,0,3200,8192,16,18,18,38
8324,0,1,3.873,10.667,1.35,0,Y,0,3000,8192,16,18,18,38
8325,0,4,5.468,10,1.35,0,Y,0,3200,8192,16,18,18,36
8326,0,2,5.312,8.889,1.35,0,Y,0,3600,16384,16,18,18,38
8327,0,2,5,10,1.35,0,Y,0,3600,32768,18,22,22,42
8328,0,2,5.156,10,1.35,0,Y,0,3600,16384,18,22,22,42
8329,0,2,5.624,10,1.35,0,Y,0,3600,8192,18,22,22,42
8330,0,2,4.312,10,1.35,0,Y,0,3200,8192,16,20,20,38
8331,0,2,3.123,10,1.35,0,Y,0,3200,8192,,,,
8332,0,2,5.249,8.889,1.35,0,Y,0,3600,8192,16,19,19,39
8333,0,2,5.624,8.889,1.35,0,Y,0,3600,8192,16,18,18,38
8334,0,2,5.312,10,1.35,0,Y,0,3200,8192,16,18,18,38
8335,0,2,6.231,10,1.35,0,Y,0,3200,8192,,,,
8336,0,4,8.586,9,1.4,0,Y,0,4000,32768,18,22,22,42
8337,0,2,4.375,10,1.35,0,Y,0,3200,16384,,,,
8338,0,2,4.968,8.889,1.35,0,Y,0,3600,16384,16,19,19,39
8339,0,2,6.687,8.889,1.35,0,Y,0,3600,8192,16,19,19,39
8340,0,2,74.938,7.451,1.5,0,Y,0,5100,8192,19,26,26,48
8341,0,2,4.218,10,1.35,0,Y,0,3200,16384,16,20,20,38
8342,0,2,4.624,10,1.35,0,Y,0,3200,8192,,,,
8343,0,4,5.468,10,1.35,0,Y,0,3200,8192,16,18,18,36
8344,0,2,5.749,8.889,1.35,0,Y,0,3600,8192,,,,
8345,0,2,3.124,10.667,1.35,0,Y,0,3000,8192,,,,
8346,0,2,4.748,10,1.35,0,Y,0,3200,8192,16,18,18,38
8347,0,2,6.187,10,1.35,0,Y,0,3600,8192,18,22,22,42
8348,0,2,5,10.556,1.35,0,Y,0,3600,16384,19,20,20,40
8349,0,2,4.686,10,1.35,0,Y,0,3000,8192,15,17,17,35
8350,0,2,5.312,8.889,1.35,0,Y,0,3600,8192,,,,
8351,1,1,6.82,15,1.8,0,N,1,800,1024,,,,
8352,0,2,5.849,8.889,1.35,0,Y,0,3600,32768,16,18,18,38
8353,0,1,4.374,13.333,1.2,0,Y,0,2400,8192,,,,
8354,0,4,9.57,9,1.4,0,Y,0,4000,32768,18,22,22,42
8355,0,2,3.373,10,1.35,0,Y,0,3200,8192,,,,
8356,0,2,4.062,10,1.35,0,Y,0,3600,8192,18,22,22,42
8357,0,2,4.359,10,1.35,0,Y,0,3600,32768,18,22,22,42
8358,0,2,4.375,10,1.35,0,Y,0,3200,32768,16,20,20,38
8359,0,2,5.374,10,1.35,0,Y,0,3200,4096,16,18,18,36
8360,0,4,7.343,8.889,1.35,0,Y,0,3600,8192,16,19,19,39
8361,0,2,3.248,10.667,1.35,0,Y,0,3000,8192,16,18,18,38
8362,0,4,5.469,10,1.35,0,Y,0,3600,16384,18,22,22,42
8363,0,1,19.965,14.167,1.2,1,N,0,2400,65536,,,,
8364,0,1,6.969,12.003,1.2,0,Y,0,2666,8192,,,,
8365,0,2,3.062,13.75,1.2,0,Y,0,3200,8192,22,22,22,52
8366,0,2,4.687,10,1.35,0,Y,0,3200,16384,16,18,18,38
8367,1,2,5.687,11.25,1.5,0,Y,2,1600,8192,9,9,9,24
8368,0,2,3.686,10.667,1.35,0,Y,0,3000,8192,16,18,18,38
8369,0,2,3.624,10,1.35,0,Y,0,3200,8192,16,18,18,38
8370,0,2,5.469,9,1.4,0,Y,0,4000,32768,18,22,22,42
8371,0,2,3.437,10.667,1.35,0,Y,0,3000,8192,16,18,18,38
8372,0,2,9.758,10,1.35,0,Y,0,3200,16384,16,18,18,36
8373,0,4,6.187,10,1.35,0,Y,0,3600,8192,18,22,22,42
8374,0,8,20.565,10,1.35,0,Y,0,3800,16384,19,19,19,39
8375,0,2,8.749,8.636,1.45,0,Y,0,4400,8192,19,19,19,39
8376,0,8,7.402,10,1.35,0,Y,0,3200,32768,16,20,20,38
8377,0,2,4.531,10,1.35,0,Y,0,3600,16384,18,22,22,42
8378,0,2,5.406,8.889,1.35,0,Y,0,3600,16384,,,,
8379,0,4,6.25,10,1.35,0,Y,0,3600,8192,18,19,19,39
8380,0,4,5.047,10,1.35,0,Y,0,3600,32768,18,22,22,42
8381,0,1,3.124,13.333,1.2,0,N,0,2400,8192,16,16,16,39
8382,0,4,5.562,10,1.35,0,Y,0,3200,8192,16,18,18,38
8383,0,4,3.906,10,1.35,0,Y,0,3200,16384,,,,
8384,0,2,4.312,9,1.4,0,Y,0,4000,16384,18,22,22,42
8385,0,2,3.75,10,1.35,0,Y,0,3600,16384,18,22,22,42
8386,0,2,4.749,10,1.35,0,Y,0,3200,8192,16,18,18,38
8387,0,2,4.311,10.667,1.35,0,Y,0,3000,8192,16,20,20,38
8388,0,2,5.749,10,1.35,0,Y,0,3200,8192,,,,
8389,0,2,3.187,12.5,1.2,0,Y,0,3200,8192,20,22,22,46
8390,0,1,4.247,14.065,1.2,0,Y,0,2133,4096,,,,
8391,0,4,8.531,10,1.35,0,Y,0,3600,8192,18,19,19,39
