PID,ProductType,ProductName,Manufacturer,Part #,Color
0,Motherboard,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4 Motherboard (TUF GAMING X570-PLUS (WI-FI)),0,"TUF GAMING X570-PLUS (WI-FI)
90MB1170-MVAAY0
90MB1170-M0EAY0",0
1,Motherboard,Asus ROG STRIX B550-F GAMING (WI-FI) ATX AM4 Motherboard (ROG STRIX B550-F GAMING (WI-FI)),0,"ROG STRIX B550-F GAMING (WI-FI)
STRIX B550-F GAMING (WI-FI)
90MB14F0-M0EAY0",1
2,Motherboard,MSI MAG B550 TOMAHAWK ATX AM4 Motherboard (MAG B550 TOMAHAWK),1,"MAG B550 TOMAHAWK
7C91-001R
B550TMHWK",2
3,Motherboard,MSI B550-A PRO ATX AM4 Motherboard (B550-A PRO),1,"B550-A PRO
7C56-002R",2
4,Motherboard,ASRock B450M Pro4 Micro ATX AM4 Motherboard (B450M PRO4),2,"B450M PRO4
90-MXB8F0-A0UAYZ",2
5,Motherboard,Asus ROG STRIX B550-A GAMING ATX AM4 Motherboard (ROG STRIX B550-A GAMING),0,"ROG STRIX B550-A GAMING
90MB15J0-M0EAY0",3
6,Motherboard,Asus ROG Strix X570-E Gaming ATX AM4 Motherboard (ROG Strix X570-E Gaming),0,"ROG Strix X570-E Gaming
90MB1150-M0EAY0",1
7,Motherboard,MSI Z490-A PRO ATX LGA1200 Motherboard (Z490-A PRO),1,Z490-A PRO,2
8,Motherboard,Asus PRIME B560-PLUS ATX LGA1200 Motherboard (PRIME B560-PLUS),0,"PRIME B560-PLUS
90MB16N0-M0EAY0",4
9,Motherboard,Asus ROG STRIX B450-F GAMING ATX AM4 Motherboard (STRIX B450-F GAMING),0,"STRIX B450-F GAMING
ROG STRIX B450-F GAMING
90MB0YS0-M0EAY0",1
10,Motherboard,MSI B450 TOMAHAWK MAX ATX AM4 Motherboard (B450 TOMAHAWK MAX),1,B450 TOMAHAWK MAX,1
11,Motherboard,MSI B550M PRO-VDH WIFI Micro ATX AM4 Motherboard (B550M PRO-VDH WIFI),1,"B550M PRO-VDH WIFI
7C95-001R",1
12,Motherboard,Asus ROG Crosshair VIII Dark Hero ATX AM4 Motherboard (ROG Crosshair VIII Dark Hero),0,"ROG Crosshair VIII Dark Hero
Crosshair VIII Dark Hero
90MB1760-M0EAY0",2
13,Motherboard,MSI MAG X570 TOMAHAWK WIFI ATX AM4 Motherboard (MAG X570 TOMAHAWK WIFI),1,"MAG X570 TOMAHAWK WIFI
911-7C84-001
X570 TOMAHAWK WIFI
7C84-001R",1
14,Motherboard,MSI MPG Z490 GAMING PLUS ATX LGA1200 Motherboard (MPG Z490 GAMING PLUS),1,"MPG Z490 GAMING PLUS
7C75-007R",2
15,Motherboard,Gigabyte B450M DS3H V2 Micro ATX AM4 Motherboard (B450M DS3H V2),3,B450M DS3H V2,1
16,Motherboard,Asus ROG STRIX B450-F GAMING II ATX AM4 Motherboard (ROG STRIX B450-F GAMING II),0,"ROG STRIX B450-F GAMING II
90MB15V0-M0EAY0",1
17,Motherboard,MSI MPG B550 GAMING EDGE WIFI ATX AM4 Motherboard (MPG B550 GAMING EDGE WIFI),1,"MPG B550 GAMING EDGE WIFI
7C91-008R",2
18,Motherboard,MSI MPG Z490 GAMING EDGE WIFI ATX LGA1200 Motherboard (MPG Z490 GAMING EDGE WIFI),1,"MPG Z490 GAMING EDGE WIFI
7C79-005R",2
19,Motherboard,MSI MPG B550 GAMING PLUS ATX AM4 Motherboard (MPG B550 GAMING PLUS),1,"MPG B550 GAMING PLUS
7C56-003R",1
20,Motherboard,Asus ROG STRIX Z590-E GAMING WIFI ATX LGA1200 Motherboard (ROG STRIX Z590-E GAMING WIFI),0,"ROG STRIX Z590-E GAMING WIFI
90MB1640-M0EAY0",1
21,Motherboard,Asus ROG Strix X570-I Gaming Mini ITX AM4 Motherboard (ROG Strix X570-I Gaming),0,"ROG Strix X570-I Gaming
90MB1140-M0EAY0",1
22,Motherboard,MSI Creator TRX40 EATX sTRX4 Motherboard (Creator TRX40),1,"Creator TRX40
7C59-003R
911-7C59-003",2
23,Motherboard,MSI Z390-A PRO ATX LGA1151 Motherboard (Z390-A PRO),1,"Z390-A PRO
7B98-001R
911-7B98-001",5
24,Motherboard,ASRock B560M-HDV Micro ATX LGA1200 Motherboard (B560M-HDV),2,"B560M-HDV
90-MXBF50-A0UAYZ",4
25,Motherboard,Asus ROG STRIX B550-F GAMING ATX AM4 Motherboard (ROG STRIX B550-F GAMING),0,"ROG STRIX B550-F GAMING
STRIX B550-F GAMING
90MB14S0-M0EAY0",1
26,Motherboard,Asus TUF GAMING B560M-PLUS WIFI Micro ATX LGA1200 Motherboard (TUF GAMING B560M-PLUS WIFI),0,"TUF GAMING B560M-PLUS WIFI
90MB1770-M0EAY0",6
27,Motherboard,ASRock B560M Pro4 Micro ATX LGA1200 Motherboard (B560M PRO4),2,"B560M PRO4
90-MXBEL0-A0UAYZ",4
28,Motherboard,MSI MPG X570 GAMING EDGE WIFI ATX AM4 Motherboard (MPG X570 GAMING EDGE WIFI),1,"MPG X570 GAMING EDGE WIFI
7C37-001R
911-7C37-001",2
29,Motherboard,Gigabyte X570 AORUS ELITE WIFI ATX AM4 Motherboard (X570 AORUS ELITE WIFI),3,X570 AORUS ELITE WIFI,1
30,Motherboard,Asus TUF GAMING B550-PLUS (WI-FI) ATX AM4 Motherboard (TUF GAMING B550-PLUS (WI-FI)),0,"TUF GAMING B550-PLUS (WI-FI)
90MB15D0-M0EAY0",1
31,Motherboard,Gigabyte B550M DS3H Micro ATX AM4 Motherboard (B550M DS3H),3,"B550M DS3H
GA-B550M-DS3H",0
32,Motherboard,Asus PRIME A320M-K Micro ATX AM4 Motherboard (PRIME A320M-K),0,"PRIME A320M-K
90MB0TV0-M0EAY0",3
33,Motherboard,Asus ROG STRIX Z490-E GAMING ATX LGA1200 Motherboard (ROG STRIX Z490-E GAMING),0,"ROG STRIX Z490-E GAMING
90MB12P0-M0EAY0",1
34,Motherboard,Asus PRIME B560M-A Micro ATX LGA1200 Motherboard (PRIME B560M-A),0,"PRIME B560M-A
90MB17A0-M0EAY0",4
35,Motherboard,Gigabyte B450 I AORUS PRO WIFI Mini ITX AM4 Motherboard (B450 I AORUS PRO WIFI),3,"B450 I AORUS PRO WIFI
GA-B450I-AORUS-PRO-WIFI",2
36,Motherboard,Gigabyte B550I AORUS PRO AX Mini ITX AM4 Motherboard (B550I AORUS PRO AX),3,B550I AORUS PRO AX,2
37,Motherboard,Asus PRIME X570-PRO ATX AM4 Motherboard (PRIME X570-PRO),0,"PRIME X570-PRO
90MB11B0-M0EAY0",3
38,Motherboard,Asus TUF GAMING X570-PRO (WI-FI) ATX AM4 Motherboard (TUF GAMING X570-PRO (WI-FI)),0,"TUF GAMING X570-PRO (WI-FI)
90MB15H0-M0EAY0",0
39,Motherboard,MSI MAG B560 TOMAHAWK WIFI ATX LGA1200 Motherboard (MAG B560 TOMAHAWK WIFI),1,"MAG B560 TOMAHAWK WIFI
7D15-005R",1
40,Motherboard,ASRock B550M-ITX/ac Mini ITX AM4 Motherboard (B550M-ITX/ac),2,"B550M-ITX/ac
90-MXBDH0-A0UAYZ",4
41,Motherboard,NZXT N7 B550 ATX AM4 Motherboard (N7-B55XT-W1),4,N7-B55XT-W1,7
42,Motherboard,Asus TUF Gaming Z590-PLUS WIFI ATX LGA1200 Motherboard (TUF Gaming Z590-PLUS WIFI),0,"TUF Gaming Z590-PLUS WIFI
90MB16C0-M0EAY0",4
43,Motherboard,Asus ROG ZENITH II EXTREME ALPHA EATX sTRX4 Motherboard (ROG ZENITH II EXTREME ALPHA),0,"ROG ZENITH II EXTREME ALPHA
ZENITH II EXTREME ALPHA
90MB14K0-M0EAY0",2
44,Motherboard,MSI MPG Z390 GAMING PLUS ATX LGA1151 Motherboard (MPG Z390 GAMING PLUS),1,"MPG Z390 GAMING PLUS
Z390GAMINGP
Z390 GAMING PLUS
7B51-001R
911-7B51-007",8
45,Motherboard,Asus PRIME Z390-A ATX LGA1151 Motherboard (PRIME Z390-A),0,"PRIME Z390-A
90MB0YT0-M0EAY0",4
46,Motherboard,Asus TUF GAMING B550M-PLUS (WI-FI) Micro ATX AM4 Motherboard (TUF GAMING B550M-PLUS (WI-FI)),0,TUF GAMING B550M-PLUS (WI-FI),1
47,Motherboard,Asus ROG MAXIMUS XIII HERO ATX LGA1200 Motherboard (ROG MAXIMUS XIII HERO),0,"ROG MAXIMUS XIII HERO
90MB15X0-M0EAY0",1
48,Motherboard,Gigabyte X570 AORUS ELITE ATX AM4 Motherboard (X570 AORUS ELITE),3,"X570 AORUS ELITE
GA-X570-AORUS-ELITE",2
49,Motherboard,ASRock B550M Pro4 Micro ATX AM4 Motherboard (B550M Pro4),2,"B550M Pro4
90-MXBDK0-A0UAYZ",4
50,Motherboard,Asus ROG Crosshair VIII Hero (WI-FI) ATX AM4 Motherboard (ROG Crosshair VIII Hero (WI-FI)),0,"ROG Crosshair VIII Hero (WI-FI)
CROSSHAIR VIII HERO WI-FI
90MB10T0-M0EAY0",1
51,Motherboard,Asus ROG STRIX B550-I GAMING Mini ITX AM4 Motherboard (ROG STRIX B550-I GAMING),0,"ROG STRIX B550-I GAMING
STRIX B550-I GAMING
90MB14L0-M0EAY0",1
52,Motherboard,Gigabyte B560M DS3H Micro ATX LGA1200 Motherboard (B560M DS3H),3,"B560M DS3H
GA-B560M-DS3H",1
53,Motherboard,Gigabyte B450 AORUS PRO WIFI (rev. 1.0) ATX AM4 Motherboard (B450 AORUS PRO WIFI (rev. 1.0)),3,"B450 AORUS PRO WIFI (rev. 1.0)
B450 AORUS PRO WIFI",2
54,Motherboard,Gigabyte X570 I AORUS PRO WIFI Mini ITX AM4 Motherboard (X570 I AORUS PRO WIFI),3,"X570 I AORUS PRO WIFI
GA-X570I-AORUSPRO-WIFI",2
55,Motherboard,Gigabyte Z390 AORUS PRO WIFI ATX LGA1151 Motherboard (Z390 AORUS PRO WIFI),3,"Z390 AORUS PRO WIFI
GA-Z390-AORUS-PRO-WIFI",2
56,Motherboard,Asus PRIME Z590-P ATX LGA1200 Motherboard (PRIME Z590-P),0,"PRIME Z590-P
90MB16I0-M0EAY0",4
57,Motherboard,MSI MPG X570 GAMING PLUS ATX AM4 Motherboard (MPG X570 GAMING PLUS),1,"MPG X570 GAMING PLUS
X570GAMINGPLUS
7C37-004R
911-7C37-004",8
58,Motherboard,ASRock B450 Steel Legend ATX AM4 Motherboard (B450 Steel Legend),2,"B450 Steel Legend
90-MXBA00-A0UAYZ",2
59,Motherboard,MSI MAG B550M MORTAR WIFI Micro ATX AM4 Motherboard (MAG B550M MORTAR WIFI),1,"MAG B550M MORTAR WIFI
7C94-001R",4
60,Motherboard,Asus TUF GAMING B450M-PLUS II Micro ATX AM4 Motherboard (TUF GAMING B450M-PLUS II),0,"TUF GAMING B450M-PLUS II
90MB1620-M0EAY0",1
61,Motherboard,Gigabyte B550 AORUS ELITE V2 ATX AM4 Motherboard (B550 AORUS ELITE V2),3,B550 AORUS ELITE V2,1
62,Motherboard,Gigabyte X570 AORUS MASTER ATX AM4 Motherboard (X570 AORUS MASTER),3,"X570 AORUS MASTER
GA-X570-AORUS-MASTER",2
63,Motherboard,MSI B460M PRO-VDH WIFI Micro ATX LGA1200 Motherboard (B460M PRO-VDH WIFI),1,"B460M PRO-VDH WIFI
7C83-003R",1
64,Motherboard,NZXT N7 B550 ATX AM4 Motherboard (N7-B55XT-B1),4,N7-B55XT-B1,1
65,Motherboard,Asus ROG Crosshair VIII Formula ATX AM4 Motherboard (ROG Crosshair VIII Formula),0,"ROG Crosshair VIII Formula
90MB10Z0-M0EAY0",1
66,Motherboard,MSI B450-A PRO MAX ATX AM4 Motherboard (B450-A PRO MAX),1,"B450-A PRO MAX
7B86-022R",5
67,Motherboard,Asus ROG STRIX B560-A GAMING WIFI ATX LGA1200 Motherboard (ROG STRIX B560-A GAMING WIFI),0,"ROG STRIX B560-A GAMING WIFI
STRIX B560-A GAMING WIFI
90MB16V0-M0EAY0",2
68,Motherboard,Gigabyte GA-A320M-S2H Micro ATX AM4 Motherboard (GA-A320M-S2H),3,GA-A320M-S2H,1
69,Motherboard,MSI B450M PRO-VDH MAX Micro ATX AM4 Motherboard (B450M PRO-VDH MAX),1,"B450M PRO-VDH MAX
7A38-043R
B450PVDHMAX",2
70,Motherboard,ASRock H510M-ITX/ac Mini ITX LGA1200 Motherboard (H510M-ITX/ac),2,"H510M-ITX/ac
90-MXBF30-A0UAYZ",4
