PID,Form Factor,Efficiency Rating,Wattage,Length,Modular,Type,Fanless,ATX Connectors,EPS Connectors,PCIe 12-Pin Connectors,PCIe 8-Pin Connectors,PCIe 6+2-Pin Connectors,PCIe 6-Pin Connectors,SATA Connectors,Molex 4-Pin Connectors,Output,Efficiency
21672,7,0,750,160,0,14,N,0,2,0,0,6,0,10,4,,
21673,7,0,650,150,0,14,N,0,1,0,0,6,0,9,4,,
21674,7,1,600,140,1,14,N,0,1,0,0,2,0,6,3,,
21675,7,0,850,160,0,14,N,0,2,0,0,6,0,12,4,,
21676,7,0,650,160,0,14,N,0,2,0,0,4,0,6,4,,
21677,7,0,850,160,0,14,N,0,3,0,0,4,0,14,4,,
21678,7,1,450,140,2,14,N,0,1,0,0,2,0,6,3,,
21679,7,2,1000,180,0,14,N,0,2,0,0,8,0,16,8,"+3.3V@25A, +5V@25A, +12V@83.3A, -12V@0.8A, +5HXB@3A",
21680,8,2,750,100,0,15,N,0,2,0,0,4,0,8,3,,
21681,7,3,1600,200,0,14,N,0,2,0,0,8,0,5,3,,
21682,7,1,500,140,2,14,N,0,1,0,0,2,0,6,3,,
21683,7,0,750,150,0,14,N,0,2,0,0,3,0,6,4,,
21684,7,0,550,150,0,14,N,0,1,0,0,3,0,6,4,,
21685,7,1,550,150,0,14,N,0,1,0,0,2,0,6,3,,
21686,7,0,850,150,0,14,N,0,2,0,0,6,0,10,8,,
21687,7,1,650,140,1,14,N,0,1,0,0,2,0,6,4,,
21688,8,2,600,100,0,15,N,0,1,0,0,2,0,4,4,,
21689,7,0,650,150,0,14,N,0,1,0,0,3,0,6,4,,
21690,7,1,500,140,1,14,N,0,1,0,0,2,0,6,3,"+3.3V@20A, +5V@20A, +12V@41.6A, -12V@0.3A, +5VSB@2.5A",85% Typical
21691,7,0,750,160,0,14,N,0,2,0,0,6,0,8,5,,
21692,7,0,1000,180,0,14,N,0,3,0,0,6,0,14,8,,
21693,7,0,850,150,0,14,N,0,2,0,0,6,0,9,4,,
21694,7,0,850,160,0,14,N,0,2,0,0,6,0,10,2,,
21695,7,3,1000,170,0,14,N,0,2,0,0,8,0,16,8,,
21696,7,0,650,160,0,14,N,0,2,0,0,6,0,8,5,,
21697,7,2,1200,200,0,14,N,0,2,0,0,8,0,16,8,"+3.3V@30A, +5V@30A, +12V@100A, -12V@0.8A, +5HXB@3.5A",
21698,7,0,600,140,2,14,N,0,1,0,0,2,0,6,3,,
21699,7,0,650,160,0,14,N,0,1,0,0,4,0,9,4,,
21700,7,1,550,140,1,14,N,0,1,0,0,2,0,5,4,,
21701,7,0,750,150,0,14,N,0,2,0,0,4,0,9,8,,
21702,8,0,850,100,0,15,N,0,2,0,0,4,0,8,4,,
21703,7,1,450,125,2,14,N,0,1,0,0,2,0,7,3,,
21704,7,4,500,139,2,16,N,0,1,0,0,2,0,6,3,,
21705,7,2,1200,190,0,14,N,0,2,0,0,8,0,12,5,,
21706,7,0,650,140,0,14,N,0,1,0,0,4,0,8,3,"+3.3V@20A, +5V@20A, +12V@54A,-12V@0.3A,+5Vsb@3A",
21707,7,0,750,140,0,14,N,0,2,0,0,4,0,8,3,,
21708,7,0,750,150,0,14,N,0,1,0,0,4,0,8,6,,
21709,7,1,650,140,1,14,N,0,1,0,0,2,1,7,3,"+3.3V@24A, +5V@20A, +12V@54A, +5Vsb@3A, -12V@0.3A",85% Typical
21710,7,0,650,140,1,14,N,0,1,0,0,4,0,6,4,"+3.3V@25A, +5V@25A, +12V@51A, -12V@0.8A, +5TX-MB@3A",
21711,7,0,750,160,0,14,N,0,2,0,0,4,0,9,2,,
21712,7,1,750,140,1,14,N,0,2,0,0,3,0,9,5,"+3.3V@24A, +5V@20A, +12V@62A, +5Vsb@3A, -12V@0.3A",85% efficiency or higher under typical loads
