PID,Merchant,Availability,Total
23957,0,0,74.98
23957,1,0,74.99
23957,2,0,74.99
23957,3,,79.99
23957,4,0,82.98
23957,5,0,109.99
23958,2,0,84.99
23958,6,0,94.99
23958,4,0,100.98
23958,0,0,111.42
23959,0,0,72.98
23959,2,0,72.99
23959,1,0,74.99
23959,4,0,80.98
23959,3,1,84.99
23959,5,1,109.99
23960,3,,149.99
23960,1,0,149.99
23960,4,0,149.99
23960,0,0,186.69
23961,4,0,128.99
23961,1,0,129.99
23961,0,0,133.12
23961,3,1,152.79
23962,4,0,59.99
23962,0,0,69.98
23963,0,0,94.18
23963,4,0,94.18
23963,6,0,94.99
23964,0,0,89.99
23964,4,0,89.99
23965,3,,149.99
23965,1,0,154.99
23965,4,0,165.99
23965,0,0,195.55
23966,0,0,134.99
23966,2,0,134.99
23966,6,0,134.99
23966,4,0,134.99
23967,0,0,89.99
23967,4,0,99.98
23967,7,0,99.99
23968,4,0,49.99
23968,0,0,59.98
23969,0,1,49.99
23969,1,0,49.99
23969,2,1,49.99
23969,7,0,58.81
23969,4,0,59.99
23970,0,0,79.98
23970,4,0,79.99
23971,4,0,136.98
23972,0,0,159.99
23972,2,0,164.99
23972,6,0,164.99
23972,4,0,164.99
23972,3,1,190.64
23973,0,0,134.99
23973,2,0,134.99
23973,6,0,134.99
23973,4,0,134.99
23974,0,0,999.99
23974,8,0,999.99
23975,0,0,149.99
23975,1,0,149.99
23975,2,0,149.99
23975,4,0,154.98
23975,5,0,179.99
23976,1,0,119.99
23976,4,0,119.99
23976,0,0,120.81
23977,4,0,255.99
23977,0,0,272.14
23978,0,0,149.99
23978,2,0,149.99
23978,4,0,156.98
23978,5,0,179.99
23979,4,0,89.98
23979,0,0,215.49
23980,1,0,79.99
23980,4,0,79.99
23980,7,0,88.54
23980,0,0,219
23981,0,0,99.9
23981,8,0,110.8
23982,0,0,45.44
23982,4,0,50.98
23983,1,0,125.99
23983,4,0,125.99
23983,0,0,132.4
23983,3,1,152.79
23984,0,0,89.99
23984,2,0,89.99
23984,6,0,94.99
23984,4,0,94.99
23985,1,0,99.99
23985,0,0,119.99
23985,7,0,119.99
23985,4,0,120.98
23985,3,,147.18
23986,0,0,79.98
23986,4,0,79.99
23987,0,0,299.99
23988,1,0,39.99
23988,4,0,39.99
23988,0,0,59.99
23988,7,0,59.99
23989,0,0,108.11
23989,7,0,108.11
23989,1,2,111.69
23989,4,0,117.99
23990,4,0,919.98
23991,0,0,204.99
23991,2,0,204.99
23991,6,0,204.99
23991,4,0,204.99
23992,0,0,99.99
23992,2,0,99.99
23992,7,0,99.99
23992,1,2,114.99
23992,6,0,114.99
23992,4,0,114.99
23993,0,0,89.99
23994,0,1,89.99
23994,7,0,99.95
23994,4,0,99.98
23995,0,0,74.98
23995,4,0,84.98
23995,3,,88.59
23996,0,0,205.99
23996,4,0,242.99
23997,4,0,34.95
23998,4,0,154.98
23998,7,0,154.99
23999,0,0,100.99
23999,2,0,100.99
23999,3,,114.99
23999,4,0,117.98
23999,5,0,144.99
24000,0,0,149.99
24000,4,0,149.99
24001,1,0,125.99
24001,4,0,129.99
24001,0,0,141.37
24002,6,1,79.99
24002,0,0,176.66
24003,1,0,49.99
24003,0,0,87.73
24004,0,0,79.98
24004,1,0,79.99
24004,2,0,79.99
24004,5,0,79.99
24004,4,0,85.98
24004,3,1,94.24
24005,0,0,179.99
24005,2,0,179.99
24005,8,0,179.99
24005,4,0,185.98
24005,3,,186.29
24005,5,0,234.99
24006,0,0,158.88
24006,6,0,164.99
24006,4,0,164.99
24006,3,,169.99
24007,1,0,119.99
24007,4,0,119.99
24007,0,0,120.81
24008,0,0,514.99
24008,7,0,514.99
24008,6,0,514.99
24008,3,,545.94
24008,4,0,572.98
24009,2,0,74.99
24009,6,0,94.99
24009,4,0,94.99
24009,7,0,94.99
24010,3,,184.99
24010,0,0,189.99
24010,1,0,189.99
24010,4,0,209.99
24011,4,0,80.99
24012,1,1,84.99
24012,4,1,100.98
24012,0,0,121.49
24013,4,0,69.99
24013,0,0,89.99
24013,2,0,99.99
24013,6,0,99.99
24014,0,0,74.98
24014,1,0,74.99
24014,4,1,74.99
24014,3,1,91.84
24015,3,1,123.99
24015,0,0,123.99
24015,1,0,123.99
24015,4,0,127.99
24016,0,0,88.99
24016,4,0,99.98
24016,7,0,102.31
24016,1,0,109.99
24017,4,0,99.98
24017,0,0,111.82
24018,0,0,90.99
24019,0,0,119.99
24019,4,0,119.99
24020,0,0,184.99
24020,2,0,184.99
24020,6,0,194.99
24020,4,0,194.99
24021,0,0,103.9
24021,7,0,103.9
24021,1,0,104.99
24021,4,0,109.99
24022,0,0,56.9
24023,0,0,52.99
24023,4,0,59.98
24024,4,1,34.99
24025,7,0,109.99
24025,4,0,122.98
24025,0,0,142.07
24026,0,0,256
24026,7,0,259.99
24026,6,0,264.99
24026,4,0,264.99
24027,0,0,74.98
24027,4,0,74.99
24028,0,0,79.63
24028,4,0,79.99
24029,4,0,59.98
24029,1,0,63.49
24029,0,0,67.97
24030,0,0,74.98
24030,2,0,74.99
24030,3,,79.99
24030,8,0,84.98
24030,4,0,89.98
24030,5,0,109.99
24031,4,1,122.98
24031,0,0,301
24032,0,0,109.99
24032,2,0,109.99
24032,4,0,119.98
24033,4,0,44.99
24033,1,0,49.99
24033,0,0,54.23
24034,6,0,89.99
24034,0,0,170.36
24036,4,1,64.99
24036,0,0,74.98
24036,7,0,74.99
24036,6,0,74.99
24037,0,0,149.99
24037,4,0,149.99
24038,4,1,64.99
24038,0,0,84.49
24039,2,0,149.99
24039,4,0,155.98
24039,3,1,162.29
24039,0,0,171
24039,5,1,204.99
24040,1,0,68.09
24040,0,0,78.09
24040,4,0,80.98
24040,7,0,99.99
24040,3,,108.79
24041,0,0,54.99
24041,4,0,54.99
24041,3,,59.99
24042,4,1,53.98
24042,0,0,78.56
24043,8,0,99.9
24043,0,0,99.99
24043,1,0,99.99
24044,0,0,151.62
24044,2,0,154.99
24044,6,0,154.99
24044,4,0,154.99
24045,4,0,53.98
24045,0,0,61.61
24048,0,0,79.98
24048,1,0,79.99
24048,2,0,79.99
24048,5,0,79.99
24048,8,0,89.98
24048,3,1,94.24
24049,2,1,259.99
24049,6,0,259.99
24049,4,0,259.99
24050,4,1,34.99
24051,0,0,179.99
24051,2,0,179.99
24051,4,0,183.98
24051,1,0,186.41
24051,3,1,196.29
24051,5,0,234.99
24052,0,0,279.99
24053,0,0,109.99
24053,4,0,109.99
24054,0,0,119.99
24055,0,0,125.5
24055,4,0,129.99
24056,4,0,259.99
24056,6,0,264.99
24056,0,0,276.94
24057,6,1,64.99
24057,0,0,246
24058,0,0,94.99
24058,6,0,94.99
24058,4,0,94.99
24059,4,0,89.99
24059,0,0,103.67
24060,1,0,108
24060,3,,109.99
24060,4,0,111.98
24060,0,0,118.99
