PID,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,SSD NAND Flash Type,Hybrid SSD Cache,SSD Controller,Power Loss Protection
17443,2000,0.025,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17444,1000,0.14,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17445,1000,0.085,SSD,,M.2-2280,M.2 (M),Y,,,,
17446,2000,0.12,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17447,1000,0.19,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17448,500,0.11,SSD,,M.2-2280,M.2 (B+M),N,,,,
17449,500,0.16,SSD,512,M.2-2280,M.2 (M),Y,,,,
17450,2000,0.178,SSD,,M.2-2280,M.2 (M),Y,,,,
17451,7680,0.833,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17452,1000,0.04,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17453,500,0.092,SSD,,M.2-2280,M.2 (M),Y,,,,
17454,240,0.117,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17455,1000,0.11,SSD,,M.2-2280,M.2 (M),Y,,,,
17456,1000,0.16,SSD,1024,"2.5""",SATA 6 Gb/s,N,,,,
17457,1000,0.044,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17458,2000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17459,1000,0.12,SSD,,M.2-2280,M.2 (M),Y,,,,
17460,1000,0.084,SSD,,M.2-2280,M.2 (M),Y,,,,
17461,500,0.088,SSD,,M.2-2280,M.2 (M),Y,,,,
17462,4000,0.021,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17463,500,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17464,1000,0.09,SSD,,M.2-2280,M.2 (M),Y,,,,
17465,1000,0.135,SSD,1024,"2.5""",SATA 6 Gb/s,N,,,,
17466,1000,0.095,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17467,8000,0.162,SSD,,M.2-2280,M.2 (M),Y,,,,
17468,1000,0.091,SSD,1024,"2.5""",SATA 6 Gb/s,N,,,,
17469,1000,0.165,SSD,,M.2-2280,M.2 (M),Y,,,,
17470,18000,0.027,7200RPM,512,"3.5""",SATA 6 Gb/s,N,,,,
17471,1000,0.09,SSD,,M.2-2280,M.2 (M),Y,,,,
17472,500,0.13,SSD,,M.2-2280,M.2 (M),Y,,,,
17473,500,0.25,SSD,512,M.2-2280,M.2 (M),Y,,,,
17474,250,0.26,SSD,512,M.2-2280,M.2 (M),Y,,,,
17475,500,0.104,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17476,4000,0.021,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17477,8000,0.181,SSD,,M.2-2280,M.2 (M),Y,,,,
17478,8000,0.093,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17479,2000,0.022,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17480,4000,0.034,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17481,2000,0.083,SSD,2048,"2.5""",SATA 6 Gb/s,N,,,,
17482,2000,0.17,SSD,,M.2-2280,M.2 (M),Y,,,,
17483,1000,0.357,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17484,2000,0.085,SSD,,M.2-2280,M.2 (B+M),N,,,,
17485,1000,0.15,SSD,,M.2-2280,M.2 (M),Y,,,,
17486,480,0.092,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17487,500,0.118,SSD,512,"2.5""",SATA 6 Gb/s,N,,,,
17488,4000,0.035,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17489,15300,0.216,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
