PID,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Frame Sync,Length,TDP,DVI Ports,HDMI Ports,Mini-HDMI Ports,DisplayPort Ports,Mini-DisplayPort Ports,Expansion Slot Width,Cooling,External Power,DisplayPort,HDMI,DVI-D Dual-Link,VGA,DVI-I Dual-Link,VirtualLink,DVI-D Single-Link,DVI,Mini-Display Port,Mini-HDMI,S-Video,VHDCI,DVI-I Single-Link,DVI-A
3538,0,12,5,1320,1882,15000,0,0,201.8,170,0,1,0,3,0,2,2,0,3,1,,,,,,,,,,,,
3539,1,4,6,1341,1455,7000,0,0,215,75,1,1,0,1,0,2,2,,1,1,1,,,,,,,,,,,
3540,2,4,5,1410,1710,12000,0,0,202.1,75,0,1,0,2,0,2,2,1,2,1,,,,,,,,,,,,
3541,0,12,5,1320,1837,15000,0,0,276,170,0,1,0,3,0,2,2,2,3,1,,,,,,,,,,,,
3542,3,8,5,1410,1670,14000,0,0,242,200,0,1,0,3,0,2,2,3,3,1,,,,,,,,,,,,
3543,4,10,7,1440,1710,19000,0,0,285,320,0,1,0,3,0,2,2,3,3,1,,,,,,,,,,,,
3544,5,24,7,1395,1800,19500,0,0,300,350,0,1,0,3,0,2,3,4,3,1,,,,,,,,,,,,
3545,6,6,5,1365,1785,14000,0,0,242,160,1,2,0,1,0,2,2,0,1,2,1,,,,,,,,,,,
3546,7,8,5,1500,1730,16000,0,0,242,220,0,1,0,3,0,2,2,3,3,1,,,,,,,,,,,,
3547,8,12,7,1365,1800,,0,0,300,350,0,1,0,3,0,2,3,4,3,1,,,,,,,,,,,,
3548,0,12,5,1320,1807,15000,0,0,224.1,170,0,1,0,3,0,2,2,0,3,1,,,,,,,,,,,,
3549,9,8,7,1575,1860,19000,0,0,300,290,0,1,0,3,0,2,3,5,3,1,,,,,,,,,,,,
3550,1,4,6,1290,1392,7008,0,0,192,75,1,1,0,1,0,2,1,,1,1,1,,,,,,,,,,,
3551,10,6,5,1500,1830,12000,0,0,204,120,0,1,0,3,0,2,2,0,3,1,,,,,,,,,,,,
3552,5,24,7,1395,1890,19500,0,0,318.5,350,0,2,0,3,0,2,3,4,3,2,,,,,,,,,,,,
3553,11,6,5,1530,1830,14000,0,0,246.888,125,0,1,0,3,0,2,2,0,3,1,,,,,,,,,,,,
