PID,ID
23957,0
23957,1
23957,2
23958,0
23958,1
23958,2
23959,0
23959,1
23959,2
23960,0
23960,3
23960,1
23960,2
23961,0
23961,3
23961,1
23961,2
23962,0
23962,1
23962,2
23963,0
23963,1
23963,2
23964,0
23964,3
23964,1
23964,2
23965,0
23965,3
23965,1
23965,2
23966,0
23966,1
23966,2
23967,0
23967,1
23967,2
23968,0
23968,1
23968,2
23969,1
23969,2
23970,0
23970,3
23970,1
23970,2
23971,0
23971,1
23971,2
23972,0
23972,1
23972,2
23973,0
23973,1
23973,2
23974,0
23974,3
23974,1
23974,2
23975,0
23975,1
23975,2
23976,0
23976,1
23976,2
23977,0
23977,3
23977,1
23977,2
23978,0
23978,1
23978,2
23979,0
23979,1
23979,2
23980,2
23980,4
23981,0
23981,1
23981,2
23982,1
23982,2
23983,0
23983,3
23983,1
23983,2
23984,0
23984,1
23984,2
23985,0
23985,1
23985,2
23985,5
23986,0
23986,3
23986,1
23986,2
23987,0
23987,3
23987,1
23987,2
23988,0
23988,1
23988,2
23989,2
23989,4
23990,0
23990,3
23990,1
23990,2
23990,6
23991,0
23991,1
23991,2
23992,0
23992,1
23992,2
23993,0
23993,3
23993,1
23993,2
23994,0
23994,1
23994,2
23995,1
23995,2
23996,0
23996,3
23996,1
23996,2
23997,1
23998,0
23998,3
23998,1
23998,2
23999,0
23999,1
23999,2
24000,0
24000,3
24000,1
24000,2
24001,0
24001,3
24001,1
24001,2
24002,0
24002,1
24002,2
24003,0
24003,3
24003,1
24003,2
24004,2
24005,0
24005,1
24005,2
24006,0
24006,1
24006,2
24007,0
24007,1
24007,2
24008,0
24008,3
24008,1
24008,2
24008,6
24009,0
24009,1
24009,2
24010,0
24010,3
24010,1
24010,2
24011,0
24011,3
24011,1
24011,2
24012,0
24012,3
24012,1
24012,2
24013,0
24013,1
24013,2
24014,1
24014,2
24015,0
24015,1
24015,2
24015,5
24016,1
24016,2
24017,0
24017,1
24017,2
24018,1
24018,2
24019,0
24019,3
24019,1
24019,2
24019,6
24020,0
24020,1
24020,2
24021,2
24021,4
24022,0
24022,1
24022,2
24023,0
24023,1
24023,2
24024,0
24024,1
24024,2
24025,0
24025,1
24025,2
24026,0
24026,3
24026,1
24026,2
24027,0
24027,3
24027,1
24027,2
24028,2
24028,4
24029,0
24029,1
24029,2
24030,0
24030,1
24030,2
24031,0
24031,1
24031,2
24032,0
24032,1
24032,2
24033,0
24033,1
24033,2
24034,0
24034,1
24034,2
24035,1
24035,2
24036,0
24036,1
24036,2
24037,0
24037,3
24037,1
24037,2
24038,0
24038,1
24038,2
24039,0
24039,1
24039,2
24040,0
24040,1
24040,2
24041,1
24041,2
24042,0
24042,1
24042,2
24043,0
24043,1
24043,2
24044,0
24044,1
24044,2
24045,1
24045,2
24046,2
24047,1
24047,2
24048,2
24049,0
24049,1
24049,2
24050,0
24050,1
24050,2
24051,0
24051,1
24051,2
24052,0
24052,3
24052,1
24052,2
24053,2
24054,0
24054,1
24054,2
24055,0
24055,3
24055,1
24055,2
24055,6
24056,0
24056,1
24056,2
24057,0
24057,1
24057,2
24058,0
24058,1
24058,2
24059,0
24059,3
24059,1
24059,2
24060,0
24060,1
24060,2
24061,2
24061,7
24061,4
24062,0
